Number,Player Nickname
1646,ayakasi
1647,ayaneuu
1648,ayy
1649,b0RUP
1650,b0denmaster
1651,b1
1652,b1elany
1653,b1lal
1654,b1st
1655,b1t
1656,b4rtiN
1657,bALAGE
1658,bLazE
1659,bLitz
1660,baby4
1661,bacc
1662,bajmi
1663,bam
1664,batyazzz
1665,bdzz
1666,bea2
1667,beastik
1668,becker
1669,beeb
1670,beg0d
1671,bekker
1672,ben1337
1673,berzerk
1674,betinho
1675,bevve
1676,bezymecc
1677,biguzera
1678,birdfromsky
1679,bitu
1680,bixiaoxi
1681,bizinha
1682,bkzcurs3d
1683,bl1x1
1684,blacktear5
1685,bladee
1686,blameF
1687,blaq
1688,blaze
1689,blazevlone
1690,blaziiN
1691,blend
1692,blocker
1693,bloody wolf
1694,blopex
1695,bluewh1te
1696,bnc
1697,bnox
1698,boN11
1699,bobeksde
1700,bobz
1701,boci
1702,bodito
1703,bodyaN
1704,bodyy
1705,bogemt
1706,bokor
1707,bondik
1708,bored3m
1709,borosto
1710,botirshoT
1711,bountt
1712,bpg
1713,bq
1714,br0
1715,brawckzz
1716,brett
1717,brn$
1718,brnr
1719,brnz4n
1720,brock
1721,brokeN
1722,broky
1723,brunakiller
1724,brutmonster
1725,bsd
1726,bsover
1727,bubble
1728,buda
1729,buhnny
1730,burnz
1731,buster
1732,byek
1733,byr9
1734,c0ldhurt
1735,c0llins
1736,c0mplex
1737,c1gura
1738,cAmyy
1739,cHeuuuuk
1740,cJ dA K1nG
1741,cJe
1742,cLd
1743,cacan
1744,cadiaN
1745,cadnyx
1746,cairne
1747,calamity
1748,cand1d
1749,cap17al
1750,captainMo
1751,carN
1752,caravaggio
1753,card
1754,carua
1755,casey
1756,cass1n
1757,castrz
